Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
1a.sql; 48,439; 166,108; 993; 14703; 28927; 38,225; 151,732; 995; 14703; 21063; 94,031; 173,263; 993; 14703; 28324; 55,81; 184,83; 993; 14703; 21166; 30,89; 145,965; 995; 14703; 26771; 43,4; 168,59; 995; 14703; 24909; 44,554; 150,962; 993; 14703; 29494; 36,73; 152,222; 995; 14703; 27172; 49,627; 155,593; 993; 14703; 29906; 51,774; 156,767; 993; 14703; 20436
1b.sql; 49,288; 158,271; 80; 13674; 26107; 54,22; 175,174; 80; 13672; 24240; 34,221; 149,068; 80; 13674; 29579; 37,379; 184,657; 80; 13674; 28488; 33,734; 152,706; 80; 13674; 19681; 42,255; 151,842; 80; 13674; 25681; 42,919; 140,875; 80; 13672; 25602; 46,905; 150,281; 80; 13674; 33345; 33,246; 148,919; 80; 13674; 20568; 46,623; 148,192; 80; 13674; 27069
1c.sql; 34,631; 190,76; 670; 14502; 30073; 50,051; 151,825; 672; 14502; 29273; 52,204; 175,128; 672; 14502; 18781; 75,374; 212,641; 670; 14502; 32819; 42,775; 141,022; 670; 14502; 28083; 40,573; 208,13; 670; 14502; 34207; 49,161; 165,534; 672; 14502; 32601; 44,13; 150,34; 672; 14502; 27010; 45,258; 162,564; 672; 14502; 20737; 44,695; 150,749; 670; 14502; 19884
1d.sql; 67,412; 143,267; 85; 13694; 32742; 58,027; 151,269; 85; 13694; 32863; 73,996; 167,451; 85; 13694; 25891; 48,423; 177,588; 85; 13694; 26992; 45,694; 152,031; 85; 13694; 34167; 53,608; 159,49; 85; 13692; 17172; 50,401; 170,45; 85; 13694; 26019; 52,367; 137,38; 85; 13694; 24723; 63,355; 180,958; 85; 13694; 25710; 86,834; 153,054; 85; 13694; 28704
2a.sql; 63,666; 787,746; 973172; 56415; 81155; 45,058; 832,973; 973172; 56415; 66920; 101,554; 812,653; 973172; 56415; 101421; 97,287; 887,215; 973172; 56415; 79844; 55,691; 745,978; 973172; 56415; 60581; 65,54; 833,491; 973172; 56415; 86993; 70,869; 848,805; 973172; 56415; 44412; 68,958; 804,451; 973172; 56415; 63294; 56,807; 1001,585; 973172; 56415; 46421; 59,669; 762,839; 973172; 56415; 47354
2b.sql; 44,609; 751,267; 954767; 53248; 44630; 53,25; 816,444; 954767; 53248; 44832; 49,98; 903,543; 954767; 53248; 66596; 63,528; 831,68; 954767; 53248; 95026; 56,706; 776,413; 954767; 53248; 40464; 43,136; 1015,951; 954767; 53248; 51727; 63,049; 753,386; 954767; 53248; 70793; 67,436; 745,713; 954767; 53248; 73978; 57,182; 838,041; 954767; 53248; 52045; 69,435; 761,955; 954767; 53248; 43950
2c.sql; 62,831; 777,6; 931690; 48073; 67769; 82,856; 766,605; 931690; 48073; 33829; 46,031; 772,814; 931690; 48073; 43783; 52,652; 818,725; 931690; 48073; 44691; 50,186; 798,659; 931690; 48073; 80528; 69,831; 1112,442; 931690; 48073; 45861; 68,866; 725,58; 931690; 48073; 57781; 69,566; 728,693; 931690; 48073; 69909; 78,237; 783,854; 931690; 48073; 42553; 77,242; 739,986; 931690; 48073; 53005
2d.sql; 69,461; 1014,48; 1072115; 82532; 146234; 53,047; 1005,551; 1072115; 82532; 65442; 70,548; 961,184; 1072115; 82532; 64382; 83,871; 1100,373; 1072115; 82532; 124172; 79,256; 1015,878; 1072115; 82532; 90693; 81,853; 1134,657; 1072115; 82532; 74890; 63,247; 1019,653; 1072115; 82532; 68818; 89,517; 1073,574; 1072115; 82532; 61402; 60,671; 931,973; 1072115; 82532; 62253; 101,199; 1029,203; 1072115; 82532; 52001
3a.sql; 43,915; 861,371; 69934; 41827; 75811; 111,597; 290,531; 69934; 41827; 67392; 72,749; 233,911; 69934; 41827; 70349; 53,788; 682,028; 69934; 41827; 61952; 71,372; 314,215; 69934; 41827; 46806; 63,994; 316,96; 69934; 41827; 83557; 44,578; 238,462; 69934; 41827; 76029; 135,223; 266,346; 69934; 41827; 72317; 80,093; 253,371; 69934; 41827; 86188; 44,013; 316,853; 69934; 41827; 53966
3b.sql; 37,664; 302,548; 53057; 32792; 53867; 62,989; 165,063; 53057; 32792; 44519; 71,636; 184,151; 53057; 32792; 41116; 62,323; 538,383; 53057; 32792; 39795; 41,187; 194,26; 53057; 32792; 45272; 32,939; 672,621; 53057; 32792; 52746; 61,698; 192,416; 53057; 32792; 45732; 60,754; 230,272; 53057; 32792; 42439; 74,388; 205,819; 53057; 32792; 48100; 46,984; 190,342; 53057; 32792; 48194
3c.sql; 54,383; 543,79; 126094; 64909; 123815; 56,024; 401,007; 126094; 64909; 107603; 46,14; 441,036; 126114; 64889; 118616; 72,853; 806,086; 126095; 64908; 62334; 71,407; 588,08; 126110; 64893; 98513; 45,011; 2000,292; 126121; 64882; 115245; 46,737; 479,486; 126112; 64891; 104459; 71,071; 570,748; 126114; 64889; 93619; 31,946; 591,421; 126094; 64909; 109247; 51,842; 505,759; 126109; 64894; 115578
4a.sql; 46,769; 129,31; 68232; 22939; 28285; 59,752; 141,985; 68232; 22939; 32748; 53,117; 141,273; 68232; 22939; 31134; 58,774; 148,891; 68232; 22939; 32144; 85,003; 153,753; 68232; 22939; 28907; 65,641; 253,557; 68232; 22939; 33090; 52,106; 144,224; 68232; 22939; 43548; 82,115; 161,427; 68232; 22939; 33358; 43,071; 128,121; 68232; 22939; 38210; 62,607; 156,585; 68232; 22939; 32195
4b.sql; 59,738; 139,542; 47298; 14839; 28614; 75,011; 115,19; 47298; 14839; 21891; 49,878; 106,603; 47298; 14839; 20558; 96,952; 101,361; 47298; 14839; 22107; 61,134; 92,246; 47298; 14839; 24373; 77,059; 115,856; 47298; 14839; 22999; 63,34; 99,893; 47298; 14839; 21460; 88,89; 105,385; 47298; 14839; 27778; 37,36; 90,539; 47298; 14839; 23426; 65,577; 100,551; 47298; 14839; 20858
4c.sql; 69,78; 157,104; 74768; 24399; 41085; 67,815; 156,187; 74768; 24399; 35248; 57,154; 152,695; 74768; 24399; 31301; 55,419; 163,273; 74768; 24399; 30408; 54,86; 169,849; 74768; 24399; 33584; 44,487; 185,648; 74768; 24399; 37216; 60,227; 151,402; 74768; 24399; 36662; 52,457; 152,633; 74768; 24399; 32365; 52,382; 165,318; 74768; 24399; 31804; 61,624; 154,566; 74768; 24399; 31710
