Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
1a.sql; 1022,059; 141,623; 15695; 1; 19546; 1307,083; 136,939; 15697; 1; 27617; 142,963; 128,216; 15696; 0; 21852; 180,206; 129,353; 15696; 0; 29502; 1414,568; 129,535; 15696; 0; 26916; 101,671; 120,461; 15696; 0; 33884; 1649,832; 136,086; 15693; 3; 31924; 50,907; 133,827; 15696; 0; 21094; 52,171; 150,313; 15698; 0; 26638; 141,823; 125,808; 15696; 0; 28361
1b.sql; 388,107; 133,535; 13752; 0; 24595; 461,694; 118,471; 13752; 0; 19103; 48,886; 137,352; 13754; 0; 32168; 81,031; 120,618; 13752; 0; 20292; 49,244; 131,533; 13752; 0; 27890; 415,246; 113,229; 13754; 0; 24875; 1836,711; 133,873; 13752; 0; 24505; 477,756; 120,416; 13752; 0; 32576; 45,235; 118,335; 13754; 0; 28742; 366,266; 125,355; 13754; 0; 20502
1c.sql; 168,03; 131,215; 15174; 0; 29852; 51,586; 148,711; 15172; 0; 25436; 45,589; 131,817; 15172; 0; 20918; 44,714; 128,495; 15174; 0; 24405; 473,826; 128,638; 15174; 0; 30527; 248,663; 119,741; 15172; 0; 32034; 559,759; 122,886; 15172; 0; 28178; 627,774; 133,646; 15172; 0; 28570; 617,588; 132,334; 15172; 0; 26825; 45,915; 172,74; 15172; 0; 26665
1d.sql; 1415,908; 124,27; 13777; 0; 21360; 233,347; 123,814; 13777; 0; 24627; 51,68; 128,057; 13779; 0; 20087; 859,309; 120,089; 13779; 0; 28542; 51,39; 132,081; 13777; 0; 25043; 41,04; 117,83; 13777; 0; 25804; 53,307; 144,098; 13779; 0; 33319; 570,299; 129,829; 13779; 0; 22762; 176,232; 130,69; 13779; 0; 25579; 350,476; 135,006; 13779; 0; 29638
2a.sql; 779,381; 518,42; 1029587; 0; 65893; 79,937; 522,183; 1029587; 0; 42723; 379,81; 625,651; 1029587; 0; 40509; 225,868; 604,023; 1029587; 0; 57361; 390,874; 552,218; 1029587; 0; 62323; 1260,679; 636,667; 1028993; 594; 39991; 425,336; 598,6; 1029587; 0; 60731; 167,866; 579,05; 1029587; 0; 73012; 896,534; 535,594; 1029587; 0; 70461; 73,627; 561,488; 1029587; 0; 56241
2b.sql; 74,752; 602,23; 1008015; 0; 44931; 78,667; 569,965; 1008015; 0; 46634; 463,166; 537,503; 1008015; 0; 53724; 72,312; 504,148; 1008015; 0; 41595; 485,468; 597,991; 1008015; 0; 39798; 100,553; 519,272; 1008015; 0; 38850; 67,863; 498,705; 1008015; 0; 90363; 762,839; 505,218; 1008015; 0; 54103; 78,622; 593,75; 1008015; 0; 55530; 72,272; 522,624; 1008015; 0; 39824
2c.sql; 72,571; 555,852; 979763; 0; 62884; 72,371; 599,846; 979763; 0; 43334; 764,154; 528,018; 979763; 0; 67545; 73,218; 479,806; 979763; 0; 39997; 679,671; 542,669; 979763; 0; 55963; 443,685; 420,755; 979763; 0; 49055; 839,876; 598,411; 979763; 0; 56923; 168,096; 581,804; 979763; 0; 46044; 75,269; 561,649; 979763; 0; 49708; 476,645; 533,986; 979763; 0; 68671
2d.sql; 895,151; 598,283; 1154647; 0; 93792; 1893,923; 660,137; 1154647; 0; 57566; 1944,302; 702,134; 1154647; 0; 60853; 75,385; 684,139; 1154647; 0; 53373; 648,605; 609,301; 1154647; 0; 67474; 449,924; 584,217; 1154647; 0; 73230; 1381,449; 656,585; 1154647; 0; 85753; 760,024; 772,882; 1154647; 0; 133235; 91,563; 747,919; 1154647; 0; 90809; 412,486; 689,84; 1154647; 0; 58701
3a.sql; 1647,956; 141,403; 106791; 4970; 64471; 138,67; 158,459; 111761; 0; 50911; 158,301; 175,363; 111761; 0; 70726; 2860,693; 131,591; 103154; 8607; 58752; 2808,382; 119,387; 111761; 0; 72961; 788,345; 130,773; 111761; 0; 56759; 863,993; 155,774; 111761; 0; 60269; 1208,14; 131,513; 111459; 302; 74242; 447,277; 163,199; 111697; 64; 55625; 386,322; 156,26; 111761; 0; 64568
3b.sql; 154,562; 108,172; 85849; 0; 37435; 136,36; 118,749; 85849; 0; 43698; 1452,911; 86,807; 85849; 0; 48623; 1066,63; 93,279; 85849; 0; 50943; 4098,283; 77,871; 81660; 4189; 56353; 3112,804; 75,93; 85223; 626; 55037; 2247,666; 91,167; 81771; 4078; 53932; 3119,982; 86,224; 85849; 0; 46828; 2838,841; 89,118; 85849; 0; 48859; 3387,679; 87,006; 85849; 0; 39859
3c.sql; 144,15; 262,772; 190935; 68; 71773; 4317,656; 198,89; 172483; 18520; 119731; 3072,516; 187,347; 181423; 9580; 113702; 1267,96; 219,068; 190935; 68; 100861; 3021,995; 168,527; 185979; 5024; 93717; 3025,763; 156,988; 190675; 328; 105972; 3258,879; 179,324; 188605; 2398; 105775; 3651,098; 175,196; 189915; 1088; 74803; 3211,355; 229,775; 184452; 6551; 115907; 3815,363; 178,142; 190935; 68; 120224
