Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
1a.sql; 4,987; 263,195; 10952; 4746; 26828; 3,478; 268,007; 1901; 13795; 36150; 3,245; 185,138; 15402; 294; 18311; 3,884; 274,076; 3835; 11861; 33975; 2,902; 230,497; 1979; 13719; 34569; 2,676; 276,438; 2654; 13044; 34098; 6,192; 257,391; 10067; 5629; 26636; 2,519; 232,732; 15143; 553; 21874; 3,651; 257,74; 3740; 11958; 32862; 1,902; 205,817; 15354; 344; 22034
1b.sql; 4,207; 186,622; 13029; 723; 21252; 4,98; 283,627; 117; 13635; 32727; 6,631; 307,805; 325; 13429; 32475; 2,262; 236,058; 491; 13263; 31950; 4,381; 312,156; 128; 13626; 32848; 6,015; 256,428; 6889; 6863; 26750; 11,044; 286,835; 6074; 7680; 27760; 2,28; 192,552; 13535; 219; 18322; 2,061; 239,056; 10197; 3555; 24213; 2,688; 328,151; 4112; 9642; 30210
1c.sql; 2,353; 165,151; 15172; 0; 21180; 2,347; 345,472; 10177; 4995; 26785; 2,677; 255,516; 9492; 5680; 27120; 7,981; 332,365; 6461; 8711; 30118; 6,118; 276,784; 3691; 11481; 31552; 3,61; 251,488; 8982; 6192; 27392; 4,698; 314,475; 1491; 13681; 33718; 3,195; 248,228; 3741; 11433; 32050; 2,342; 228,421; 10027; 5145; 26870; 3,473; 283,88; 8238; 6936; 28727
1d.sql; 1,768; 168,479; 13757; 22; 20439; 3,435; 240,207; 9683; 4096; 25075; 7,388; 290,86; 138; 13641; 33641; 3,05; 155,217; 13779; 0; 15828; 4,079; 249,792; 8729; 5050; 26403; 2,666; 177,993; 13776; 1; 20444; 3,186; 225,554; 7714; 6065; 26119; 6,463; 202,17; 10285; 3494; 24019; 2,597; 188,774; 13779; 0; 18752; 2,764; 168,688; 13751; 26; 20036
2a.sql; 2,512; 1514,082; 1017962; 11625; 58062; 2,605; 1229,76; 1023256; 6331; 50707; 1,88; 1590,563; 1012245; 17342; 62845; 2,866; 1224,633; 1019196; 10391; 53417; 2,476; 1023,213; 1026198; 3389; 46957; 2,574; 909,264; 1026192; 3395; 43619; 3,281; 1223,417; 1023630; 5957; 50323; 3,088; 796,208; 1028267; 1320; 43040; 2,502; 1553,546; 1019447; 10140; 57202; 1,925; 759,41; 1028974; 613; 44203
2b.sql; 9,257; 2569,0; 961978; 46037; 98613; 2,756; 1290,559; 998472; 9543; 47400; 2,406; 1368,694; 998263; 9752; 52957; 2,046; 2035,281; 984126; 23889; 69026; 17,612; 1874,802; 984678; 23337; 68119; 2,719; 1488,372; 996769; 11246; 49157; 2,806; 2544,364; 967332; 40683; 93670; 13,255; 2066,467; 970397; 37618; 90213; 4,002; 1701,822; 993493; 14522; 61927; 3,051; 1348,509; 996491; 11524; 53668
2c.sql; 2,805; 1532,406; 953285; 26478; 68857; 2,364; 1502,173; 962027; 17736; 58438; 2,667; 1270,451; 968189; 11574; 51604; 2,737; 1625,349; 963953; 15810; 56617; 5,877; 1178,499; 963224; 16539; 54917; 2,681; 1079,005; 971546; 8217; 50449; 14,921; 1589,355; 960349; 19414; 64142; 2,585; 1660,106; 946850; 32913; 81681; 2,647; 1428,2; 963556; 16207; 61196; 15,266; 1975,167; 945389; 34374; 82953
2d.sql; 2,476; 2757,818; 1131278; 23369; 84519; 2,576; 3098,723; 1122547; 32100; 96496; 1,908; 3028,403; 1122937; 31710; 96418; 3,841; 4051,881; 1126346; 28301; 85774; 2,929; 1604,688; 1145121; 9526; 63756; 2,894; 1028,413; 1153453; 1194; 52554; 3,083; 1816,236; 1121913; 32734; 90866; 2,657; 2433,423; 1143991; 10656; 71239; 3,99; 3272,799; 1133172; 21475; 84450; 2,142; 3496,105; 1133321; 21326; 82274
3a.sql; 3,801; 1577,705; 98441; 13320; 58788; 3,284; 990,932; 102836; 8925; 56733; 1,63; 2016,406; 91910; 19851; 70203; 3,104; 2171,339; 93006; 18755; 66489; 3,391; 1915,99; 92998; 18763; 69973; 16,522; 2465,376; 82620; 29141; 81286; 2,065; 1392,49; 97428; 14333; 62786; 2,94; 1891,747; 92880; 18881; 68033; 2,28; 199,0; 111761; 0; 44618; 12,579; 2046,698; 91267; 20494; 68685
3b.sql; 7,12; 931,612; 75120; 10729; 49786; 3,207; 481,389; 82683; 3166; 40010; 2,904; 243,654; 85278; 571; 38258; 1,612; 1567,212; 70374; 15475; 54385; 2,264; 592,334; 80230; 5619; 42458; 2,222; 269,509; 84361; 1488; 39002; 5,571; 1687,259; 69507; 16342; 56750; 2,548; 1161,685; 76378; 9471; 48330; 2,378; 530,612; 82670; 3179; 39553; 2,431; 846,14; 76660; 9189; 46718
